Item,Description
Camera,Ximea 1.3 MP NIR Enhanced Camera MQ013RG-ON
Machine vision lens,"MVL12M23-12 mm EFL, f/1.4, for 2/3"" "
"C-Mount Format Cameras, with Lock",
Band pass filter,"FEL0800: Ø25.0 mm Premium Longpass Filter, "
,Cut-On Wavelength: 800 nm
,"FBH520: Ø25.0 mm Hard-Coated Bandpass Filters, "
,"Blocking Regions (OD > 5): 200 - 485 nm, 556 - 1200 nm"
,"FBH650: Ø25.0 mm Hard-Coated Bandpass Filters, "
,"Blocking Regions (OD > 5),  200 - 611 nm, 690 - 1200 nm"
,"FBH850: Ø25.0 mm Hard-Coated Bandpass Filters,"
,"Blocking Regions (OD > 5),  200 - 805 nm, 896 - 1200 nm"
LED controller,Intelligent LED Solutions 12-Channel Light Controller
LED,12 Die LED array Full Spectrum 360-955nm
